hanza,mean_sound
想,생각 상
箱,상자 상
象,코끼리 상
賞,상줄 상
状,형상 상/ 문서 장
常,항상 상
像,모양 상
傷,다칠 상
床,평상 상
尚,오히려 상
祥,상서로울 상
桑,뽕나무 상
爽,시원할 상
喪,잃을 상
詳,자세할 상
償,갚을 상
霜,서리 상
璽,옥새 새
色,빛 색
索,찾을 색/ 동아줄 삭
塞,막힐 색/ 변방 새
生,날 생
牲,희생 생
西,서녘 서
書,글 서
暑,더울 서
序,차례 서
署,마을 서
叙,펼 서
徐,천천히 할 서
逝,갈 서
庶,여러 서
婿,사위 서
緒,실마리 서
誓,맹세할 서
夕,저녁 석
石,돌 석
昔,예 석
席,자리 석
析,쪼갤 석
釈,풀 석
惜,아낄 석
潟,개펄 석
先,먼저 선
船,배 선
線,줄 선
選,고를 선
宣,베풀 선
善,착할 선
仙,신선 선
扇,부채 선
旋,돌 선
羨,부러워할 선
腺,샘 선
禅,선 선
膳,반찬 선
鮮,고울 선
繕,기울 선
雪,눈 설
説,말씀 설/ 달랠 세
舌,혀 설
設,베풀 설
繊,가늘 섬
渉,건널 섭
摂,다스릴/ 잡을 섭
星,별 성
声,소리 성
成,이룰 성
省,살필 성/ 덜 생
性,성품 성
城,성 성
盛,성할 성
誠,정성 성
聖,성인 성
姓,성씨 성
醒,깰 성
細,가늘 세
世,인간/ 세상 세
税,세금 세
勢,형세 세
洗,씻을 세
歳,해 세
小,작을 소
少,적을 소
所,바 소
昭,밝을 소
消,사라질 소
笑,웃음 소
巣,새집 소
焼,불사를 소
素,본디/ 흴 소
召,부를 소
沼,못 소
咲,꽃필 소
宵,밤 소
紹,이을 소
掃,쓸 소
訴,호소할 소
疎,성길 소
塑,흙 빚을 소
遡,거스를 소
騒,떠들 소
速,빠를 속
束,묶을 속
続,이을 속
属,무리 속
俗,풍속 속
孫,손자 손
損,덜 손
遜,겸손할 손
送,보낼 송
松,소나무 송
訟,송사할 송
刷,인쇄할 쇄
砕,부술 쇄
鎖,쇠사슬 쇄
衰,쇠할 쇠
水,물 수
手,손 수
首,머리 수
数,셈 수
守,지킬 수
受,받을 수
修,닦을 수
授,줄 수
輸,보낼 수
収,거둘 수
垂,드리울 수
樹,나무 수
囚,가둘 수
秀,빼어날 수
寿,목숨 수
狩,사냥할 수
帥,장수 수
捜,찾을 수
殊,다를 수
袖,소매 수
粋,순수할 수
羞,부끄러울 수
遂,드디어 수
須,모름지기 수
痩,여윌 수
随,따를 수
睡,졸음 수
酬,갚을 수
愁,근심 수
需,쓰일/ 쓸 수
誰,누구 수
穂,이삭 수
獣,짐승 수
髄,뼛골 수
宿,잘 숙
熟,익을 숙
叔,아저씨 숙
淑,맑을 숙
粛,엄숙할 숙
塾,글방 숙
順,순할 순
純,순수할 순
旬,열흘 순
巡,돌/ 순행할 순
盾,방패 순
唇,입술 순
殉,따라죽을 순
循,돌 순
瞬,눈 깜짝일 순
述,펼 술
術,재주 술
崇,높을 숭
膝,무릎 슬
拾,주울 습/ 열 십
習,익힐 습
湿,젖을 습
襲,엄습할 습
乗,탈 승
勝,이길 승
承,이을 승
升,되 승
昇,오를 승
僧,중 승
縄,노끈 승
市,저자 시
矢,화살 시
時,때 시
始,비로소 시
詩,시 시
試,시험 시
示,보일 시
視,볼 시
侍,모실 시
柿,감나무 시
施,베풀 시
是,옳을 시
食,밥/ 먹을 식
式,법 식
息,쉴 식
植,심을 식
識,알 식
拭,씻을 식
殖,불릴 식
飾,꾸밀 식
新,새 신
申,거듭 신
身,몸 신
神,귀신 신
臣,신하 신
信,믿을 신
迅,빠를 신
伸,펼 신
辛,매울 신
娠,아이 밸 신
紳,신사 신
慎,삼갈 신
腎,콩팥 신
薪,섶 신
室,집 실
実,열매 실
失,잃을 실
心,마음 심
深,깊을 심
芯,등심초 심
甚,심할 심
尋,찾을 심
審,살필 심
十,열 십
双,두 쌍/ 쌍
氏,각시/ 성씨 씨
児,아이 아
芽,싹 아
我,나 아
牙,어금니 아
亜,버금 아
雅,맑을 아
餓,주릴 아
悪,악할 악/ 미워할 오
岳,큰 산 악
握,쥘 악
顎,턱 악
顔,낯 안
安,편안 안
岸,언덕 안
案,책상 안
眼,눈 안
謁,뵐 알
岩,바위 암
暗,어두울 암
俺,나 암
闇,숨을 암
圧,누를 압
押,누를 압
央,가운데 앙
仰,우러를 앙
愛,사랑 애
哀,슬플 애
挨,밀칠 애
涯,물가 애
崖,언덕 애
曖,희미할 애
液,진 액
額,이마 액
厄,액 액
